"t","s","v","a"
0,0,0.6,-0.00440967
0.4,0.239642,0.598257,-0.00430508
0.8,0.478596,0.596555,-0.00420296
1.2,0.716876,0.594893,-0.00410327
1.6,0.954501,0.593271,-0.00400594
2,1.19148,0.591687,-0.00391092
2.4,1.42784,0.590141,-0.00381814
2.8,1.66359,0.588632,-0.00372758
3.2,1.89874,0.587158,-0.00363916
3.6,2.13331,0.585719,-0.00355284
4,2.36731,0.584315,-0.00346856
4.4,2.60075,0.582943,-0.00338628
4.8,2.83365,0.581605,-0.00330595
5.2,3.06603,0.580298,-0.00322754
5.6,3.29788,0.579022,-0.00315098
6,3.52924,0.577776,-0.00307625
6.4,3.7601,0.57656,-0.00300327
6.8,3.99048,0.575373,-0.00293204
7.2,4.22039,0.574214,-0.00286249
7.6,4.44984,0.573082,-0.00279459
8,4.67885,0.571977,-0.0027283
8.4,4.90742,0.570899,-0.00266359
8.8,5.13556,0.569846,-0.00260041
9.2,5.36329,0.568818,-0.00253873
9.6,5.59061,0.567814,-0.00247851
10,5.81754,0.566834,-0.00241971
10.4,6.04407,0.565877,-0.00236231
10.8,6.27023,0.564943,-0.00230628
11.2,6.49602,0.564032,-0.00225158
11.6,6.72145,0.563142,-0.00219817
12,6.94653,0.562273,-0.00214603
12.4,7.17127,0.561424,-0.00209512
12.8,7.39566,0.560596,-0.00204543
13.2,7.61974,0.559787,-0.00199691
13.6,7.84349,0.558998,-0.00194954
14,8.06693,0.558227,-0.0019033
14.4,8.29007,0.557475,-0.00185815
14.8,8.51291,0.55674,-0.00181407
15.2,8.73546,0.556023,-0.00177104
15.6,8.95772,0.555323,-0.00172903
16,9.17971,0.554639,-0.00168801
16.4,9.40143,0.553972,-0.00164798
16.8,9.62289,0.55332,-0.00160888
17.2,9.84408,0.552684,-0.00157072
17.6,10.065,0.552063,-0.00153346
18,10.2857,0.551457,-0.00149709
18.4,10.5062,0.550865,-0.00146158
18.8,10.7264,0.550287,-0.00142691
19.2,10.9464,0.549723,-0.00139305
19.6,11.1662,0.549172,-0.00136001
20,11.3858,0.548635,-0.00132775
20.4,11.6051,0.54811,-0.00129626
20.8,11.8242,0.547597,-0.00126551
21.2,12.0432,0.547097,-0.00123549
21.6,12.2619,0.546609,-0.00120619
22,12.4805,0.546132,-0.00117758
22.4,12.6988,0.545666,-0.00114964
22.8,12.917,0.545212,-0.00112237
23.2,13.135,0.544768,-0.00109575
23.6,13.3528,0.544335,-0.00106976
24,13.5705,0.543912,-0.00104438
24.4,13.7879,0.543499,-0.0010196
24.8,14.0052,0.543096,-0.000995416
25.2,14.2224,0.542702,-0.000971809
25.6,14.4394,0.542318,-0.000948753
26,14.6563,0.541943,-0.000926252
26.4,14.873,0.541577,-0.000904277
26.8,15.0895,0.541219,-0.000882827
27.2,15.3059,0.54087,-0.000861887
27.6,15.5222,0.540529,-0.000841439
28,15.7384,0.540197,-0.000821482
28.4,15.9544,0.539872,-0.000801999
28.8,16.1703,0.539555,-0.000782978
29.2,16.386,0.539246,-0.000764407
29.6,16.6016,0.538943,-0.000746273
30,16.8172,0.538648,-0.00072857
30.4,17.0326,0.53836,-0.000711292
30.8,17.2479,0.538079,-0.000694413
31.2,17.463,0.537804,-0.000677943
31.6,17.6781,0.537536,-0.000661861
32,17.8931,0.537275,-0.000646159
32.4,18.1079,0.537019,-0.000630841
32.8,18.3227,0.53677,-0.000615876
33.2,18.5373,0.536527,-0.000601266
33.6,18.7519,0.536289,-0.000586998
34,18.9664,0.536057,-0.000573073
34.4,19.1807,0.53583,-0.000559479
34.8,19.395,0.535609,-0.000546206
35.2,19.6092,0.535393,-0.000533249
35.6,19.8233,0.535182,-0.000520606
36,20.0374,0.534976,-0.00050826
36.4,20.2513,0.534775,-0.000496205
36.8,20.4652,0.534579,-0.000484429
37.2,20.679,0.534388,-0.000472933
37.6,20.8927,0.534201,-0.000461724
38,21.1063,0.534018,-0.000450771
38.4,21.3199,0.53384,-0.000440072
38.8,21.5334,0.533666,-0.000429641
39.2,21.7468,0.533496,-0.000419442
39.6,21.9602,0.533331,-0.000409503
40,22.1735,0.533168,-0.000399783
40.4,22.3867,0.533011,-0.000390306
40.8,22.5999,0.532856,-0.000381052
41.2,22.813,0.532705,-0.000372
41.6,23.0261,0.532559,-0.000363186
42,23.2391,0.532415,-0.000354573
42.4,23.452,0.532275,-0.000346154
42.8,23.6649,0.532138,-0.00033794
43.2,23.8777,0.532004,-0.00032993
43.6,24.0905,0.531874,-0.000322111
44,24.3032,0.531747,-0.00031447
44.4,24.5159,0.531622,-0.000307012
44.8,24.7285,0.531501,-0.000299726
45.2,24.9411,0.531382,-0.000292614
45.6,25.1536,0.531267,-0.00028567
46,25.3661,0.531154,-0.000278894
46.4,25.5785,0.531043,-0.000272278
46.8,25.7909,0.530936,-0.000265822
47.2,26.0033,0.530831,-0.000259522
47.6,26.2156,0.530728,-0.000253372
48,26.4279,0.530628,-0.000247363
48.4,26.6401,0.53053,-0.000241496
48.8,26.8523,0.530435,-0.000235766
49.2,27.0645,0.530342,-0.000230167
49.6,27.2766,0.53025,-0.000224695
50,27.4886,0.530162,-0.000219382
50.4,27.7007,0.530075,-0.000214186
50.8,27.9127,0.52999,-0.000209104
51.2,28.1247,0.529908,-0.000204124
51.6,28.3366,0.529827,-0.000199296
52,28.5485,0.529748,-0.000194579
52.4,28.7604,0.529671,-0.000189953
52.8,28.9723,0.529596,-0.000185445
53.2,29.1841,0.529523,-0.00018106
53.6,29.3959,0.529451,-0.000176754
54,29.6077,0.529382,-0.000172567
54.4,29.8194,0.529314,-0.000168484
54.8,30.0311,0.529246,-0.00016446
55.2,30.2428,0.529182,-0.00016059
55.6,30.4544,0.529118,-0.00015676
56,30.6661,0.529056,-0.000153061
56.4,30.8777,0.528996,-0.000149421
56.8,31.0893,0.528937,-0.000145882
57.2,31.3008,0.528879,-0.000142425
57.6,31.5124,0.528823,-0.000139043
58,31.7239,0.528768,-0.000135746
58.4,31.9354,0.528714,-0.000132527
58.8,32.1469,0.528662,-0.000129379
59.2,32.3584,0.528611,-0.000126325
59.6,32.5699,0.528561,-0.000123303
60,32.7813,0.528512,-0.000120409
60.4,32.9927,0.528464,-0.000117511
60.8,33.204,0.528418,-0.000114765
61.2,33.4153,0.528373,-0.000112027
61.6,33.6266,0.528328,-0.000109371
62,33.8379,0.528285,-0.000106797
62.4,34.0493,0.528242,-0.000104222
62.8,34.2606,0.528202,-0.000101786
63.2,34.4719,0.528162,-9.93721e-05
63.6,34.6832,0.528122,-9.69768e-05
64,34.8945,0.528084,-9.4723e-05
64.4,35.1057,0.528047,-9.24692e-05
64.8,35.3169,0.528009,-9.02377e-05
65.2,35.528,0.527975,-8.81478e-05
65.6,35.7391,0.52794,-8.60542e-05
66,35.9503,0.527905,-8.39606e-05
66.4,36.1614,0.527872,-8.2016e-05
66.8,36.3726,0.52784,-8.00863e-05
67.2,36.5837,0.527808,-7.81529e-05
67.6,36.7949,0.527777,-7.62939e-05
68,37.006,0.527748,-7.45244e-05
68.4,37.2171,0.527718,-7.27549e-05
68.8,37.4283,0.527689,-7.09854e-05
69.2,37.6394,0.527661,-6.93202e-05
69.6,37.8505,0.527634,-6.77109e-05
70,38.0615,0.527607,-6.61016e-05
70.4,38.2725,0.52758,-6.44922e-05
70.8,38.4834,0.527555,-6.29611e-05
71.2,38.6944,0.527531,-6.1512e-05
71.6,38.9054,0.527507,-6.00666e-05
72,39.1163,0.527482,-5.86174e-05
72.4,39.3273,0.527458,-5.71683e-05
72.8,39.5383,0.527436,-5.58607e-05
73.2,39.7493,0.527415,-5.45718e-05
73.6,39.9602,0.527394,-5.32866e-05
74,40.1712,0.527372,-5.19976e-05
74.4,40.3822,0.527351,-5.07087e-05
74.8,40.5931,0.527331,-4.95315e-05
75.2,40.8041,0.527312,-4.84027e-05
75.6,41.0151,0.527293,-4.72777e-05
76,41.2261,0.527275,-4.61489e-05
76.4,41.437,0.527256,-4.50239e-05
76.8,41.648,0.527237,-4.38988e-05
77.2,41.859,0.52722,-4.28855e-05
77.6,42.0698,0.527204,-4.19207e-05
78,42.2806,0.527188,-4.09521e-05
78.4,42.4914,0.527172,-3.99873e-05
78.8,42.7022,0.527156,-3.90224e-05
79.2,42.913,0.52714,-3.80576e-05
79.6,43.1238,0.527124,-3.70927e-05
80,43.3346,0.52711,-3.62508e-05
