"i","ri-1","ri","f(ri-1)","f(ri)","ri+1","f(r1+1)"
1,1.5,1.8,-6.53125,-4.88032,2.68683,66.7096
2,1.8,2.68683,-4.88032,66.7096,1.86046,-3.8125
3,2.68683,1.86046,66.7096,-3.8125,1.90513,-2.81121
4,1.86046,1.90513,-3.8125,-2.81121,2.03056,1.12668
5,1.90513,2.03056,-2.81121,1.12668,1.99467,-0.18476
6,2.03056,1.99467,1.12668,-0.18476,1.99973,-0.00949782
7,1.99467,1.99973,-0.18476,-0.00949782,2,8.73166e-05
8,1.99973,2,-0.00949782,8.73166e-05,2,-4.06504e-08
9,2,2,8.73166e-05,-4.06504e-08,2,-1.7385e-13
"Resultado Final",2
